ano_idx,exp_subspace
0,"[0, 1, 2, 3, 4]"
1,"[96, 97, 98, 99]"
2,"[0, 1, 2, 3, 4]"
3,"[23, 24, 25, 26]"
5,"[92, 93, 94, 95]"
11,"[72, 73]"
39,"[74, 75, 76, 77, 78]"
58,"[0, 1, 2, 3, 4]"
61,"[84, 85, 86, 87]"
63,"[79, 80, 81, 82, 83]"
73,"[39, 40, 41]"
77,"[52, 53, 54, 55, 56]"
80,"[36, 37, 38]"
105,"[13, 14, 15, 16, 17]"
115,"[57, 58, 59, 60, 61]"
118,"[18, 19, 20, 21, 22]"
128,"[62, 63, 64, 65, 66]"
131,"[27, 28, 29]"
155,"[30, 31, 32]"
160,"[33, 34, 35]"
166,"[39, 40, 41]"
167,"[30, 31, 32]"
178,"[74, 75, 76, 77, 78]"
179,"[5, 6, 7]"
184,"[96, 97, 98, 99]"
188,"[52, 53, 54, 55, 56]"
190,"[74, 75, 76, 77, 78]"
198,"[39, 40, 41]"
199,"[18, 19, 20, 21, 22]"
208,"[84, 85, 86, 87]"
218,"[42, 43, 44, 45]"
247,"[33, 34, 35]"
254,"[5, 6, 7]"
261,"[69, 70, 71]"
278,"[52, 53, 54, 55, 56]"
281,"[46, 47, 48]"
285,"[88, 89, 90, 91]"
299,"[23, 24, 25, 26]"
303,"[72, 73]"
305,"[23, 24, 25, 26]"
306,"[23, 24, 25, 26]"
317,"[57, 58, 59, 60, 61]"
331,"[69, 70, 71]"
352,"[79, 80, 81, 82, 83]"
357,"[18, 19, 20, 21, 22]"
358,"[92, 93, 94, 95]"
366,"[88, 89, 90, 91]"
367,"[62, 63, 64, 65, 66]"
381,"[79, 80, 81, 82, 83]"
386,"[52, 53, 54, 55, 56]"
387,"[92, 93, 94, 95]"
407,"[39, 40, 41]"
411,"[67, 68]"
413,"[46, 47, 48]"
416,"[8, 9, 10, 11, 12]"
427,"[79, 80, 81, 82, 83]"
430,"[96, 97, 98, 99]"
434,"[33, 34, 35]"
439,"[27, 28, 29]"
448,"[42, 43, 44, 45]"
452,"[69, 70, 71]"
453,"[36, 37, 38]"
465,"[96, 97, 98, 99]"
484,"[57, 58, 59, 60, 61]"
487,"[42, 43, 44, 45]"
503,"[67, 68]"
507,"[0, 1, 2, 3, 4]"
514,"[33, 34, 35]"
535,"[69, 70, 71]"
536,"[72, 73]"
546,"[33, 34, 35]"
549,"[74, 75, 76, 77, 78]"
564,"[27, 28, 29]"
575,"[8, 9, 10, 11, 12]"
582,"[92, 93, 94, 95]"
584,"[8, 9, 10, 11, 12]"
592,"[5, 6, 7]"
599,"[46, 47, 48]"
625,"[57, 58, 59, 60, 61]"
629,"[84, 85, 86, 87]"
644,"[30, 31, 32]"
647,"[30, 31, 32]"
672,"[49, 50, 51]"
678,"[8, 9, 10, 11, 12]"
683,"[79, 80, 81, 82, 83]"
702,"[5, 6, 7]"
703,"[57, 58, 59, 60, 61]"
714,"[88, 89, 90, 91]"
726,"[62, 63, 64, 65, 66]"
730,"[92, 93, 94, 95]"
735,"[18, 19, 20, 21, 22]"
737,"[23, 24, 25, 26]"
739,"[18, 19, 20, 21, 22]"
763,"[36, 37, 38]"
766,"[49, 50, 51]"
774,"[84, 85, 86, 87]"
803,"[0, 1, 2, 3, 4]"
806,"[49, 50, 51]"
811,"[13, 14, 15, 16, 17]"
815,"[13, 14, 15, 16, 17]"
818,"[52, 53, 54, 55, 56]"
820,"[69, 70, 71]"
826,"[72, 73]"
831,"[67, 68]"
837,"[27, 28, 29]"
841,"[88, 89, 90, 91]"
843,"[42, 43, 44, 45]"
886,"[49, 50, 51]"
887,"[27, 28, 29]"
890,"[49, 50, 51]"
894,"[46, 47, 48]"
901,"[36, 37, 38]"
924,"[39, 40, 41]"
929,"[67, 68]"
932,"[74, 75, 76, 77, 78]"
965,"[46, 47, 48]"
